week,material_id,material_desc,material_group_id,material_group_desc,abcd,reqs,inventory_ultimo,moq
15,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-103920,121000
16,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-103920,121000
17,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-103920,121000
18,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-103920,121000
19,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-103920,121000
20,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-103920,121000
21,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,181500,-285420,121000
22,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
23,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
24,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
25,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
26,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
27,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
28,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
29,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
30,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
31,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-285420,121000
